,UNICAST (2048),UNICAST (34525),UNICAST (2054),BROADCAST (2048),UNICAST (35130),UNICAST (35020),BROADCAST (2054)
2021-05-07 20:56:35.896685,4.0,154.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.897410,4.0,155.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.898081,4.0,156.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.898727,4.0,157.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.899409,4.0,158.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.900081,4.0,159.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.900743,4.0,160.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.901379,4.0,161.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.902080,4.0,162.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.902766,4.0,163.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.903401,4.0,164.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.904100,4.0,165.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.904757,4.0,166.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.905521,4.0,167.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.906223,4.0,168.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.906922,4.0,169.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.907581,4.0,170.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.908211,4.0,171.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.908790,4.0,172.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.909352,4.0,173.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.909908,4.0,174.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.910355,4.0,175.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.910673,4.0,176.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.910972,4.0,177.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.911272,4.0,178.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.911572,4.0,179.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.911880,4.0,180.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.912175,4.0,181.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.912469,4.0,182.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.912761,4.0,183.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.913054,4.0,184.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.913349,4.0,185.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.913678,4.0,186.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.914024,4.0,187.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.914340,4.0,188.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.914644,4.0,189.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.915006,4.0,190.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.915424,4.0,191.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.915957,4.0,192.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.916534,4.0,193.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.917095,4.0,194.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.917584,4.0,195.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.917930,4.0,196.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.918225,4.0,197.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.918561,4.0,198.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.918851,4.0,199.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.919232,4.0,200.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.919707,4.0,201.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.920010,4.0,202.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.920303,4.0,203.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.920588,4.0,204.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.920871,4.0,205.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.921165,4.0,206.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.921449,4.0,207.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.921734,4.0,208.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.922015,4.0,209.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.922319,4.0,210.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.922617,4.0,211.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.922904,4.0,212.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.923206,4.0,213.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.923488,4.0,214.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.923773,4.0,215.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.924052,4.0,216.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.924331,4.0,217.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.924621,4.0,218.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.924906,4.0,219.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.925184,4.0,220.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.925457,4.0,221.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.925732,4.0,222.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.926008,4.0,223.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.926317,4.0,224.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.926613,4.0,225.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.926889,4.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.978687,5.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:36.088809,6.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:36.228577,7.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:36.494580,8.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:36.995101,9.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:37.025716,10.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:37.199067,11.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:37.200741,12.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:38.001436,13.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:38.080084,14.0,226.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.403459,14.0,227.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.404604,14.0,228.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.405988,14.0,229.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.407449,14.0,230.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.408897,14.0,231.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.409842,14.0,232.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.410581,14.0,233.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.411054,14.0,234.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.411510,14.0,235.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.411954,14.0,236.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.412439,14.0,237.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.412844,14.0,238.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.413237,14.0,239.0,0.0,0.0,0.0,0.0,0.0
